sample	popGrouping	ageAverage
NA18983	modern-EAST_ASIA	0
NA18984	modern-EAST_ASIA	0
NA18985	modern-EAST_ASIA	0
NA18986	modern-EAST_ASIA	0
NA20859	modern-SOUTH_ASIA	0
NA20861	modern-SOUTH_ASIA	0
NA20862	modern-SOUTH_ASIA	0
NA20866	modern-SOUTH_ASIA	0
NA20869	modern-SOUTH_ASIA	0
NA20870	modern-SOUTH_ASIA	0
NA20872	modern-SOUTH_ASIA	0
NA20874	modern-SOUTH_ASIA	0
NA20875	modern-SOUTH_ASIA	0
NA20876	modern-SOUTH_ASIA	0
NA20877	modern-SOUTH_ASIA	0
NA20878	modern-SOUTH_ASIA	0
NA20881	modern-SOUTH_ASIA	0
NA20882	modern-SOUTH_ASIA	0
NA20884	modern-SOUTH_ASIA	0
NA20885	modern-SOUTH_ASIA	0
NA20886	modern-SOUTH_ASIA	0
NA20887	modern-SOUTH_ASIA	0
NA20888	modern-SOUTH_ASIA	0
NA20889	modern-SOUTH_ASIA	0
NA20890	modern-SOUTH_ASIA	0
NA20891	modern-SOUTH_ASIA	0
NA12812	modern-EUROPE	0
NA12813	modern-EUROPE	0
NA12814	modern-EUROPE	0
NA12815	modern-EUROPE	0
NA12828	modern-EUROPE	0
NA12872	modern-EUROPE	0
NA12873	modern-EUROPE	0
NA12874	modern-EUROPE	0
NA12878	modern-EUROPE	0
NA18486	modern-AFRICA	0
NA18489	modern-AFRICA	0
NA18498	modern-AFRICA	0
NA18499	modern-AFRICA	0
NA18501	modern-AFRICA	0
NA18502	modern-AFRICA	0
NA18504	modern-AFRICA	0
NA18505	modern-AFRICA	0
NA18507	modern-AFRICA	0
NA18508	modern-AFRICA	0
NA18510	modern-AFRICA	0
NA18511	modern-AFRICA	0
NA18516	modern-AFRICA	0
NA18988	modern-EAST_ASIA	0
NA18989	modern-EAST_ASIA	0
NA19004	modern-EAST_ASIA	0
NA19006	modern-EAST_ASIA	0
NA19011	modern-EAST_ASIA	0
NA19017	modern-AFRICA	0
NA19019	modern-AFRICA	0
NA19020	modern-AFRICA	0
NA19023	modern-AFRICA	0
NA19024	modern-AFRICA	0
NA19025	modern-AFRICA	0
NA19026	modern-AFRICA	0
NA19027	modern-AFRICA	0
NA19028	modern-AFRICA	0
NA19030	modern-AFRICA	0
NA19031	modern-AFRICA	0
NA19035	modern-AFRICA	0
NA19036	modern-AFRICA	0
NA19037	modern-AFRICA	0
NA19038	modern-AFRICA	0
NA19041	modern-AFRICA	0
NA19042	modern-AFRICA	0
NA20892	modern-SOUTH_ASIA	0
NA20894	modern-SOUTH_ASIA	0
NA20895	modern-SOUTH_ASIA	0
NA20896	modern-SOUTH_ASIA	0
NA20897	modern-SOUTH_ASIA	0
NA20899	modern-SOUTH_ASIA	0
NA20900	modern-SOUTH_ASIA	0
NA20901	modern-SOUTH_ASIA	0
NA20902	modern-SOUTH_ASIA	0
NA20903	modern-SOUTH_ASIA	0
NA20904	modern-SOUTH_ASIA	0
NA20906	modern-SOUTH_ASIA	0
NA20908	modern-SOUTH_ASIA	0
NA20910	modern-SOUTH_ASIA	0
NA20911	modern-SOUTH_ASIA	0
NA21086	modern-SOUTH_ASIA	0
NA21088	modern-SOUTH_ASIA	0
NA21089	modern-SOUTH_ASIA	0
NA21090	modern-SOUTH_ASIA	0
NA21091	modern-SOUTH_ASIA	0
NA21092	modern-SOUTH_ASIA	0
NA21094	modern-SOUTH_ASIA	0
NA18517	modern-AFRICA	0
NA18519	modern-AFRICA	0
NA18520	modern-AFRICA	0
NA18522	modern-AFRICA	0
NA18523	modern-AFRICA	0
NA18526	modern-EAST_ASIA	0
NA18532	modern-EAST_ASIA	0
NA18537	modern-EAST_ASIA	0
NA18542	modern-EAST_ASIA	0
NA18545	modern-EAST_ASIA	0
NA18547	modern-EAST_ASIA	0
NA18550	modern-EAST_ASIA	0
NA18552	modern-EAST_ASIA	0
NA18555	modern-EAST_ASIA	0
NA18558	modern-EAST_ASIA	0
NA18561	modern-EAST_ASIA	0
NA18562	modern-EAST_ASIA	0
NA18563	modern-EAST_ASIA	0
NA18564	modern-EAST_ASIA	0
NA18566	modern-EAST_ASIA	0
NA18570	modern-EAST_ASIA	0
NA18571	modern-EAST_ASIA	0
NA19043	modern-AFRICA	0
NA19089	modern-EAST_ASIA	0
NA19090	modern-EAST_ASIA	0
NA19091	modern-EAST_ASIA	0
NA19307	modern-AFRICA	0
NA19308	modern-AFRICA	0
NA19309	modern-AFRICA	0
NA19310	modern-AFRICA	0
NA19312	modern-AFRICA	0
NA19314	modern-AFRICA	0
NA19315	modern-AFRICA	0
NA19316	modern-AFRICA	0
NA19317	modern-AFRICA	0
NA19318	modern-AFRICA	0
NA19319	modern-AFRICA	0
NA19320	modern-AFRICA	0
NA19321	modern-AFRICA	0
NA19323	modern-AFRICA	0
NA19324	modern-AFRICA	0
NA19327	modern-AFRICA	0
NA19328	modern-AFRICA	0
NA19331	modern-AFRICA	0
NA21097	modern-SOUTH_ASIA	0
NA21098	modern-SOUTH_ASIA	0
NA21099	modern-SOUTH_ASIA	0
NA21100	modern-SOUTH_ASIA	0
NA21101	modern-SOUTH_ASIA	0
NA21102	modern-SOUTH_ASIA	0
NA21103	modern-SOUTH_ASIA	0
NA21104	modern-SOUTH_ASIA	0
NA21105	modern-SOUTH_ASIA	0
NA21106	modern-SOUTH_ASIA	0
NA21107	modern-SOUTH_ASIA	0
NA21108	modern-SOUTH_ASIA	0
NA21109	modern-SOUTH_ASIA	0
NA21110	modern-SOUTH_ASIA	0
NA21111	modern-SOUTH_ASIA	0
NA21112	modern-SOUTH_ASIA	0
NA21113	modern-SOUTH_ASIA	0
NA21115	modern-SOUTH_ASIA	0
NA21116	modern-SOUTH_ASIA	0
NA21117	modern-SOUTH_ASIA	0
NA21118	modern-SOUTH_ASIA	0
NA21119	modern-SOUTH_ASIA	0
NA18572	modern-EAST_ASIA	0
NA18573	modern-EAST_ASIA	0
NA18577	modern-EAST_ASIA	0
NA18579	modern-EAST_ASIA	0
NA18582	modern-EAST_ASIA	0
NA18592	modern-EAST_ASIA	0
NA18593	modern-EAST_ASIA	0
NA18603	modern-EAST_ASIA	0
NA18605	modern-EAST_ASIA	0
NA18608	modern-EAST_ASIA	0
NA18609	modern-EAST_ASIA	0
NA18638	modern-EAST_ASIA	0
NA18853	modern-AFRICA	0
NA18856	modern-AFRICA	0
NA18858	modern-AFRICA	0
NA18861	modern-AFRICA	0
NA18870	modern-AFRICA	0
NA18871	modern-AFRICA	0
NA18907	modern-AFRICA	0
NA18909	modern-AFRICA	0
NA18912	modern-AFRICA	0
NA18916	modern-AFRICA	0
NA19332	modern-AFRICA	0
NA19334	modern-AFRICA	0
NA19338	modern-AFRICA	0
NA19346	modern-AFRICA	0
NA19347	modern-AFRICA	0
NA19350	modern-AFRICA	0
NA19351	modern-AFRICA	0
NA19355	modern-AFRICA	0
NA19360	modern-AFRICA	0
NA19372	modern-AFRICA	0
NA19374	modern-AFRICA	0
NA19375	modern-AFRICA	0
NA19376	modern-AFRICA	0
NA19377	modern-AFRICA	0
NA19378	modern-AFRICA	0
NA19379	modern-AFRICA	0
NA19380	modern-AFRICA	0
NA19383	modern-AFRICA	0
NA19384	modern-AFRICA	0
NA19385	modern-AFRICA	0
NA19390	modern-AFRICA	0
NA19391	modern-AFRICA	0
NA21120	modern-SOUTH_ASIA	0
NA21122	modern-SOUTH_ASIA	0
NA21123	modern-SOUTH_ASIA	0
NA21125	modern-SOUTH_ASIA	0
NA21127	modern-SOUTH_ASIA	0
NA21128	modern-SOUTH_ASIA	0
NA21130	modern-SOUTH_ASIA	0
NA21133	modern-SOUTH_ASIA	0
NA21135	modern-SOUTH_ASIA	0
NA21137	modern-SOUTH_ASIA	0
NA21141	modern-SOUTH_ASIA	0
NA21142	modern-SOUTH_ASIA	0
NA21143	modern-SOUTH_ASIA	0
NA21144	modern-SOUTH_ASIA	0
NA18940	modern-EAST_ASIA	0
NA18942	modern-EAST_ASIA	0
NA18943	modern-EAST_ASIA	0
NA18944	modern-EAST_ASIA	0
NA18945	modern-EAST_ASIA	0
NA18947	modern-EAST_ASIA	0
NA18948	modern-EAST_ASIA	0
NA18949	modern-EAST_ASIA	0
NA18951	modern-EAST_ASIA	0
NA18952	modern-EAST_ASIA	0
NA18953	modern-EAST_ASIA	0
NA18956	modern-EAST_ASIA	0
NA18959	modern-EAST_ASIA	0
NA18960	modern-EAST_ASIA	0
NA18961	modern-EAST_ASIA	0
NA18964	modern-EAST_ASIA	0
NA18965	modern-EAST_ASIA	0
NA18967	modern-EAST_ASIA	0
NA18968	modern-EAST_ASIA	0
NA18969	modern-EAST_ASIA	0
NA18970	modern-EAST_ASIA	0
NA18971	modern-EAST_ASIA	0
NA19393	modern-AFRICA	0
NA19394	modern-AFRICA	0
NA19395	modern-AFRICA	0
NA19397	modern-AFRICA	0
NA19399	modern-AFRICA	0
NA19401	modern-AFRICA	0
NA19403	modern-AFRICA	0
NA19404	modern-AFRICA	0
NA19428	modern-AFRICA	0
NA19429	modern-AFRICA	0
NA19430	modern-AFRICA	0
NA19431	modern-AFRICA	0
NA19434	modern-AFRICA	0
NA19435	modern-AFRICA	0
NA19436	modern-AFRICA	0
NA19437	modern-AFRICA	0
NA19438	modern-AFRICA	0
NA19439	modern-AFRICA	0
NA19440	modern-AFRICA	0
NA19443	modern-AFRICA	0
NA19445	modern-AFRICA	0
NA19446	modern-AFRICA	0
NA20863	modern-SOUTH_ASIA	0
NA20864	modern-SOUTH_ASIA	0
NA20867	modern-SOUTH_ASIA	0
NA20868	modern-SOUTH_ASIA	0
NA20905	modern-SOUTH_ASIA	0
NA21087	modern-SOUTH_ASIA	0
NA21093	modern-SOUTH_ASIA	0
NA21095	modern-SOUTH_ASIA	0
NA21114	modern-SOUTH_ASIA	0
NA21124	modern-SOUTH_ASIA	0
NA21126	modern-SOUTH_ASIA	0
NA21129	modern-SOUTH_ASIA	0
HG00096	modern-EUROPE	0
HG00097	modern-EUROPE	0
HG00099	modern-EUROPE	0
HG00100	modern-EUROPE	0
NA18972	modern-EAST_ASIA	0
NA18973	modern-EAST_ASIA	0
NA18974	modern-EAST_ASIA	0
NA18975	modern-EAST_ASIA	0
NA18976	modern-EAST_ASIA	0
NA18980	modern-EAST_ASIA	0
NA18981	modern-EAST_ASIA	0
NA19005	modern-EAST_ASIA	0
NA19093	modern-AFRICA	0
NA19098	modern-AFRICA	0
NA19099	modern-AFRICA	0
NA19102	modern-AFRICA	0
NA19108	modern-AFRICA	0
NA19114	modern-AFRICA	0
NA19116	modern-AFRICA	0
NA19119	modern-AFRICA	0
NA19129	modern-AFRICA	0
NA19131	modern-AFRICA	0
NA19137	modern-AFRICA	0
NA19138	modern-AFRICA	0
NA19141	modern-AFRICA	0
NA19143	modern-AFRICA	0
NA19448	modern-AFRICA	0
NA19449	modern-AFRICA	0
NA19451	modern-AFRICA	0
NA19452	modern-AFRICA	0
NA19454	modern-AFRICA	0
NA19455	modern-AFRICA	0
NA19456	modern-AFRICA	0
NA19457	modern-AFRICA	0
NA19461	modern-AFRICA	0
NA19462	modern-AFRICA	0
NA19463	modern-AFRICA	0
NA19466	modern-AFRICA	0
NA19467	modern-AFRICA	0
NA19468	modern-AFRICA	0
NA19471	modern-AFRICA	0
NA19472	modern-AFRICA	0
NA19473	modern-AFRICA	0
NA19474	modern-AFRICA	0
NA19475	modern-AFRICA	0
NA20502	modern-EUROPE	0
NA20503	modern-EUROPE	0
NA20504	modern-EUROPE	0
HG00101	modern-EUROPE	0
HG00102	modern-EUROPE	0
HG00103	modern-EUROPE	0
HG00105	modern-EUROPE	0
HG00106	modern-EUROPE	0
HG00107	modern-EUROPE	0
HG00108	modern-EUROPE	0
HG00109	modern-EUROPE	0
HG00110	modern-EUROPE	0
HG00111	modern-EUROPE	0
HG00112	modern-EUROPE	0
HG00113	modern-EUROPE	0
HG00114	modern-EUROPE	0
HG00115	modern-EUROPE	0
HG00116	modern-EUROPE	0
HG00117	modern-EUROPE	0
HG00120	modern-EUROPE	0
HG00127	modern-EUROPE	0
HG00128	modern-EUROPE	0
HG00129	modern-EUROPE	0
HG00130	modern-EUROPE	0
HG00131	modern-EUROPE	0
NA19144	modern-AFRICA	0
NA19147	modern-AFRICA	0
NA19152	modern-AFRICA	0
NA19153	modern-AFRICA	0
NA19159	modern-AFRICA	0
NA19160	modern-AFRICA	0
NA19171	modern-AFRICA	0
NA19172	modern-AFRICA	0
NA19190	modern-AFRICA	0
NA19200	modern-AFRICA	0
NA19201	modern-AFRICA	0
NA19204	modern-AFRICA	0
NA19206	modern-AFRICA	0
NA19207	modern-AFRICA	0
NA19209	modern-AFRICA	0
NA19210	modern-AFRICA	0
NA19225	modern-AFRICA	0
NA19238	modern-AFRICA	0
NA19239	modern-AFRICA	0
NA19257	modern-AFRICA	0
NA07056	modern-EUROPE	0
NA18614	modern-EAST_ASIA	0
NA20505	modern-EUROPE	0
NA20506	modern-EUROPE	0
NA20507	modern-EUROPE	0
NA20508	modern-EUROPE	0
NA20509	modern-EUROPE	0
NA20510	modern-EUROPE	0
NA20511	modern-EUROPE	0
NA20512	modern-EUROPE	0
NA20513	modern-EUROPE	0
NA20514	modern-EUROPE	0
NA20515	modern-EUROPE	0
NA20516	modern-EUROPE	0
NA20517	modern-EUROPE	0
NA20518	modern-EUROPE	0
NA20519	modern-EUROPE	0
NA20520	modern-EUROPE	0
NA20521	modern-EUROPE	0
NA20522	modern-EUROPE	0
NA20524	modern-EUROPE	0
NA20525	modern-EUROPE	0
NA20527	modern-EUROPE	0
NA20528	modern-EUROPE	0
HG00132	modern-EUROPE	0
HG00133	modern-EUROPE	0
HG00136	modern-EUROPE	0
HG00137	modern-EUROPE	0
HG00138	modern-EUROPE	0
HG00139	modern-EUROPE	0
HG00140	modern-EUROPE	0
HG00141	modern-EUROPE	0
HG00142	modern-EUROPE	0
HG00143	modern-EUROPE	0
HG00145	modern-EUROPE	0
HG00146	modern-EUROPE	0
HG00148	modern-EUROPE	0
HG00149	modern-EUROPE	0
HG00150	modern-EUROPE	0
HG00151	modern-EUROPE	0
HG00155	modern-EUROPE	0
HG00157	modern-EUROPE	0
HG00158	modern-EUROPE	0
HG00160	modern-EUROPE	0
HG00171	modern-EUROPE	0
HG00173	modern-EUROPE	0
NA06984	modern-EUROPE	0
NA06989	modern-EUROPE	0
NA11843	modern-EUROPE	0
NA11892	modern-EUROPE	0
NA11893	modern-EUROPE	0
NA11930	modern-EUROPE	0
NA12058	modern-EUROPE	0
NA12272	modern-EUROPE	0
NA12273	modern-EUROPE	0
NA12275	modern-EUROPE	0
NA12282	modern-EUROPE	0
NA12283	modern-EUROPE	0
NA12286	modern-EUROPE	0
NA12340	modern-EUROPE	0
NA12341	modern-EUROPE	0
NA12342	modern-EUROPE	0
NA12347	modern-EUROPE	0
NA12348	modern-EUROPE	0
NA12383	modern-EUROPE	0
NA12399	modern-EUROPE	0
NA12400	modern-EUROPE	0
NA12413	modern-EUROPE	0
NA20529	modern-EUROPE	0
NA20530	modern-EUROPE	0
NA20531	modern-EUROPE	0
NA20532	modern-EUROPE	0
NA20533	modern-EUROPE	0
NA20534	modern-EUROPE	0
NA20535	modern-EUROPE	0
NA20536	modern-EUROPE	0
NA20538	modern-EUROPE	0
NA20539	modern-EUROPE	0
NA20540	modern-EUROPE	0
NA20541	modern-EUROPE	0
NA20542	modern-EUROPE	0
NA20543	modern-EUROPE	0
NA20544	modern-EUROPE	0
NA20581	modern-EUROPE	0
NA20582	modern-EUROPE	0
NA20585	modern-EUROPE	0
NA20586	modern-EUROPE	0
NA20587	modern-EUROPE	0
NA20588	modern-EUROPE	0
NA20589	modern-EUROPE	0
HG00174	modern-EUROPE	0
HG00176	modern-EUROPE	0
HG00177	modern-EUROPE	0
HG00178	modern-EUROPE	0
HG00179	modern-EUROPE	0
HG00180	modern-EUROPE	0
HG00181	modern-EUROPE	0
HG00182	modern-EUROPE	0
HG00183	modern-EUROPE	0
HG00185	modern-EUROPE	0
HG00186	modern-EUROPE	0
HG00187	modern-EUROPE	0
HG00188	modern-EUROPE	0
HG00189	modern-EUROPE	0
HG00190	modern-EUROPE	0
HG00233	modern-EUROPE	0
HG00234	modern-EUROPE	0
HG00235	modern-EUROPE	0
HG00238	modern-EUROPE	0
HG00240	modern-EUROPE	0
HG00255	modern-EUROPE	0
HG00442	modern-EAST_ASIA	0
HG02215	modern-EUROPE	0
HG01783	modern-EUROPE	0
HG01784	modern-EUROPE	0
HG02221	modern-EUROPE	0
HG02220	modern-EUROPE	0
HG02236	modern-EUROPE	0
HG02235	modern-EUROPE	0
HG02113	modern-EAST_ASIA	0
HG02141	modern-EAST_ASIA	0
HG03212	modern-AFRICA	0
HG03055	modern-AFRICA	0
HG03376	modern-AFRICA	0
HG03380	modern-AFRICA	0
HG03385	modern-AFRICA	0
HG03388	modern-AFRICA	0
HG03401	modern-AFRICA	0
HG03419	modern-AFRICA	0
HG03061	modern-AFRICA	0
HG03428	modern-AFRICA	0
HG03433	modern-AFRICA	0
HG03439	modern-AFRICA	0
HG03442	modern-AFRICA	0
HG03445	modern-AFRICA	0
HG03446	modern-AFRICA	0
HG03460	modern-AFRICA	0
HG03461	modern-AFRICA	0
HG03478	modern-AFRICA	0
HG03479	modern-AFRICA	0
HG03066	modern-AFRICA	0
HG03069	modern-AFRICA	0
HG03072	modern-AFRICA	0
HG03753	modern-SOUTH_ASIA	0
HG03760	modern-SOUTH_ASIA	0
HG03836	modern-SOUTH_ASIA	0
HG03837	modern-SOUTH_ASIA	0
HG03846	modern-SOUTH_ASIA	0
HG03848	modern-SOUTH_ASIA	0
HG03851	modern-SOUTH_ASIA	0
HG03856	modern-SOUTH_ASIA	0
HG03895	modern-SOUTH_ASIA	0
HG03890	modern-SOUTH_ASIA	0
HG04033	modern-SOUTH_ASIA	0
HG03947	modern-SOUTH_ASIA	0
HG03953	modern-SOUTH_ASIA	0
HG03949	modern-SOUTH_ASIA	0
HG04035	modern-SOUTH_ASIA	0
HG04029	modern-SOUTH_ASIA	0
HG04042	modern-SOUTH_ASIA	0
HG04099	modern-SOUTH_ASIA	0
HG03977	modern-SOUTH_ASIA	0
HG03780	modern-SOUTH_ASIA	0
HG03718	modern-SOUTH_ASIA	0
HG04018	modern-SOUTH_ASIA	0
HG01334	modern-EUROPE	0
HG02122	modern-EAST_ASIA	0
HG02121	modern-EAST_ASIA	0
HG02128	modern-EAST_ASIA	0
HG02127	modern-EAST_ASIA	0
HG02373	modern-EAST_ASIA	0
HG02394	modern-EAST_ASIA	0
HG02396	modern-EAST_ASIA	0
HG02397	modern-EAST_ASIA	0
HG03410	modern-AFRICA	0
HG03436	modern-AFRICA	0
HG03437	modern-AFRICA	0
HG03449	modern-AFRICA	0
HG03458	modern-AFRICA	0
HG03476	modern-AFRICA	0
HG03484	modern-AFRICA	0
HG03485	modern-AFRICA	0
HG03547	modern-AFRICA	0
HG03548	modern-AFRICA	0
HG03556	modern-AFRICA	0
HG03557	modern-AFRICA	0
HG03391	modern-AFRICA	0
HG03455	modern-AFRICA	0
HG03559	modern-AFRICA	0
HG03563	modern-AFRICA	0
HG03565	modern-AFRICA	0
HG03571	modern-AFRICA	0
HG03572	modern-AFRICA	0
HG03575	modern-AFRICA	0
HG03577	modern-AFRICA	0
HG03578	modern-AFRICA	0
HG03742	modern-SOUTH_ASIA	0
HG03779	modern-SOUTH_ASIA	0
HG03777	modern-SOUTH_ASIA	0
HG03785	modern-SOUTH_ASIA	0
HG03790	modern-SOUTH_ASIA	0
HG03792	modern-SOUTH_ASIA	0
HG03782	modern-SOUTH_ASIA	0
HG03873	modern-SOUTH_ASIA	0
HG03861	modern-SOUTH_ASIA	0
HG03863	modern-SOUTH_ASIA	0
HG03872	modern-SOUTH_ASIA	0
HG03870	modern-SOUTH_ASIA	0
HG03867	modern-SOUTH_ASIA	0
HG03963	modern-SOUTH_ASIA	0
HG03960	modern-SOUTH_ASIA	0
HG03968	modern-SOUTH_ASIA	0
HG03720	modern-SOUTH_ASIA	0
HG04019	modern-SOUTH_ASIA	0
HG04025	modern-SOUTH_ASIA	0
HG04020	modern-SOUTH_ASIA	0
HG04014	modern-SOUTH_ASIA	0
HG04015	modern-SOUTH_ASIA	0
HG01699	modern-EUROPE	0
HG01697	modern-EUROPE	0
HG02224	modern-EUROPE	0
HG02223	modern-EUROPE	0
HG02231	modern-EUROPE	0
HG03583	modern-AFRICA	0
HG03515	modern-AFRICA	0
HG03514	modern-AFRICA	0
HG03268	modern-AFRICA	0
HG03267	modern-AFRICA	0
HG03271	modern-AFRICA	0
HG03270	modern-AFRICA	0
HG03280	modern-AFRICA	0
HG03279	modern-AFRICA	0
HG03291	modern-AFRICA	0
HG03295	modern-AFRICA	0
HG03294	modern-AFRICA	0
HG03301	modern-AFRICA	0
HG03300	modern-AFRICA	0
HG03367	modern-AFRICA	0
HG03366	modern-AFRICA	0
HG02947	modern-AFRICA	0
HG02946	modern-AFRICA	0
HG02971	modern-AFRICA	0
HG02970	modern-AFRICA	0
HG02953	modern-AFRICA	0
HG02952	modern-AFRICA	0
HG04022	modern-SOUTH_ASIA	0
HG04063	modern-SOUTH_ASIA	0
HG04093	modern-SOUTH_ASIA	0
HG04118	modern-SOUTH_ASIA	0
HG02568	modern-AFRICA	0
HG02759	modern-AFRICA	0
HG02760	modern-AFRICA	0
HG02763	modern-AFRICA	0
HG02870	modern-AFRICA	0
HG02878	modern-AFRICA	0
HG02879	modern-AFRICA	0
HG02881	modern-AFRICA	0
HG02882	modern-AFRICA	0
HG02982	modern-AFRICA	0
HG02983	modern-AFRICA	0
HG03054	modern-AFRICA	0
HG03060	modern-AFRICA	0
HG03063	modern-AFRICA	0
HG03064	modern-AFRICA	0
HG03073	modern-AFRICA	0
HG03074	modern-AFRICA	0
HG03077	modern-AFRICA	0
HG01500	modern-EUROPE	0
HG01501	modern-EUROPE	0
HG01503	modern-EUROPE	0
HG01504	modern-EUROPE	0
HG01506	modern-EUROPE	0
HG01507	modern-EUROPE	0
HG01509	modern-EUROPE	0
HG01510	modern-EUROPE	0
HG02230	modern-EUROPE	0
HG02238	modern-EUROPE	0
HG02239	modern-EUROPE	0
HG02032	modern-EAST_ASIA	0
HG02031	modern-EAST_ASIA	0
HG02050	modern-EAST_ASIA	0
HG02250	modern-EAST_ASIA	0
HG02351	modern-EAST_ASIA	0
HG02353	modern-EAST_ASIA	0
HG02355	modern-EAST_ASIA	0
HG02356	modern-EAST_ASIA	0
HG02360	modern-EAST_ASIA	0
HG02364	modern-EAST_ASIA	0
HG02367	modern-EAST_ASIA	0
HG02371	modern-EAST_ASIA	0
HG02374	modern-EAST_ASIA	0
HG02375	modern-EAST_ASIA	0
HG02379	modern-EAST_ASIA	0
HG02380	modern-EAST_ASIA	0
HG02382	modern-EAST_ASIA	0
HG02383	modern-EAST_ASIA	0
HG02384	modern-EAST_ASIA	0
HG02977	modern-AFRICA	0
HG02976	modern-AFRICA	0
HG03118	modern-AFRICA	0
HG03117	modern-AFRICA	0
HG03130	modern-AFRICA	0
HG03129	modern-AFRICA	0
HG03160	modern-AFRICA	0
HG03159	modern-AFRICA	0
HG03163	modern-AFRICA	0
HG03162	modern-AFRICA	0
HG03169	modern-AFRICA	0
HG03168	modern-AFRICA	0
HG03172	modern-AFRICA	0
HG03196	modern-AFRICA	0
HG03195	modern-AFRICA	0
HG03199	modern-AFRICA	0
HG03198	modern-AFRICA	0
HG03343	modern-AFRICA	0
HG03342	modern-AFRICA	0
HG03370	modern-AFRICA	0
HG03369	modern-AFRICA	0
HG03234	modern-SOUTH_ASIA	0
HG03079	modern-AFRICA	0
HG03082	modern-AFRICA	0
HG03086	modern-AFRICA	0
HG03091	modern-AFRICA	0
HG03095	modern-AFRICA	0
HG03224	modern-AFRICA	0
HG03225	modern-AFRICA	0
HG03378	modern-AFRICA	0
HG03382	modern-AFRICA	0
HG03394	modern-AFRICA	0
HG03432	modern-AFRICA	0
HG03457	modern-AFRICA	0
HG03558	modern-AFRICA	0
HG03567	modern-AFRICA	0
HG02938	modern-AFRICA	0
HG02941	modern-AFRICA	0
HG02968	modern-AFRICA	0
HG02979	modern-AFRICA	0
HG02981	modern-AFRICA	0
HG03103	modern-AFRICA	0
HG03105	modern-AFRICA	0
HG03111	modern-AFRICA	0
HG01512	modern-EUROPE	0
HG01513	modern-EUROPE	0
HG01515	modern-EUROPE	0
HG01516	modern-EUROPE	0
HG01518	modern-EUROPE	0
HG01519	modern-EUROPE	0
HG01521	modern-EUROPE	0
HG01522	modern-EUROPE	0
HG01524	modern-EUROPE	0
HG01525	modern-EUROPE	0
HG01527	modern-EUROPE	0
HG01528	modern-EUROPE	0
HG01530	modern-EUROPE	0
HG01531	modern-EUROPE	0
HG01536	modern-EUROPE	0
HG01537	modern-EUROPE	0
HG01602	modern-EUROPE	0
HG01603	modern-EUROPE	0
HG01605	modern-EUROPE	0
HG01606	modern-EUROPE	0
HG02385	modern-EAST_ASIA	0
HG02386	modern-EAST_ASIA	0
HG02389	modern-EAST_ASIA	0
HG02390	modern-EAST_ASIA	0
HG02391	modern-EAST_ASIA	0
HG02392	modern-EAST_ASIA	0
HG02395	modern-EAST_ASIA	0
HG02398	modern-EAST_ASIA	0
HG02399	modern-EAST_ASIA	0
HG02401	modern-EAST_ASIA	0
HG02402	modern-EAST_ASIA	0
HG02406	modern-EAST_ASIA	0
HG02407	modern-EAST_ASIA	0
HG02409	modern-EAST_ASIA	0
HG02233	modern-EUROPE	0
HG02232	modern-EUROPE	0
HG03235	modern-SOUTH_ASIA	0
HG03488	modern-SOUTH_ASIA	0
HG03490	modern-SOUTH_ASIA	0
HG03491	modern-SOUTH_ASIA	0
HG03619	modern-SOUTH_ASIA	0
HG03634	modern-SOUTH_ASIA	0
HG03667	modern-SOUTH_ASIA	0
HG03668	modern-SOUTH_ASIA	0
HG03015	modern-SOUTH_ASIA	0
HG03016	modern-SOUTH_ASIA	0
HG03702	modern-SOUTH_ASIA	0
HG03703	modern-SOUTH_ASIA	0
HG03708	modern-SOUTH_ASIA	0
HG03709	modern-SOUTH_ASIA	0
HG03006	modern-SOUTH_ASIA	0
HG03007	modern-SOUTH_ASIA	0
HG03615	modern-SOUTH_ASIA	0
HG03616	modern-SOUTH_ASIA	0
HG03793	modern-SOUTH_ASIA	0
HG03796	modern-SOUTH_ASIA	0
HG03800	modern-SOUTH_ASIA	0
HG03803	modern-SOUTH_ASIA	0
HG03112	modern-AFRICA	0
HG03126	modern-AFRICA	0
HG03127	modern-AFRICA	0
HG03139	modern-AFRICA	0
HG03157	modern-AFRICA	0
HG03166	modern-AFRICA	0
HG03175	modern-AFRICA	0
HG03189	modern-AFRICA	0
HG03190	modern-AFRICA	0
HG03193	modern-AFRICA	0
HG03202	modern-AFRICA	0
HG03265	modern-AFRICA	0
HG03297	modern-AFRICA	0
HG03298	modern-AFRICA	0
HG03303	modern-AFRICA	0
HG03304	modern-AFRICA	0
HG03311	modern-AFRICA	0
HG03313	modern-AFRICA	0
HG03351	modern-AFRICA	0
HG03352	modern-AFRICA	0
HG03354	modern-AFRICA	0
HG03363	modern-AFRICA	0
HG01607	modern-EUROPE	0
HG01608	modern-EUROPE	0
HG01610	modern-EUROPE	0
HG01612	modern-EUROPE	0
HG01613	modern-EUROPE	0
HG01615	modern-EUROPE	0
HG01617	modern-EUROPE	0
HG01618	modern-EUROPE	0
HG01619	modern-EUROPE	0
HG01620	modern-EUROPE	0
HG01623	modern-EUROPE	0
HG01624	modern-EUROPE	0
HG01625	modern-EUROPE	0
HG01626	modern-EUROPE	0
HG01628	modern-EUROPE	0
HG01630	modern-EUROPE	0
HG01631	modern-EUROPE	0
HG01632	modern-EUROPE	0
