sample	popGrouping	ageAverage
NEO847	ancient-Early Farmer	5463
mid001	ancient-Early Farmer	5450
mid002	ancient-Early Farmer	5180
Coldrum_1	ancient-Early Farmer	5430
Aveline_1	ancient-Early Farmer	5489.5
Jubilee_cave	ancient-Early Farmer	5462.5
Kelco_cave	ancient-Early Farmer	5536
CaveHa3_1	ancient-Early Farmer	5264
bal004	ancient-Early Farmer	5190
lai001	ancient-Early Farmer	5180
NEO627	ancient-Early Farmer	5132
NEO626	ancient-Early Farmer	5082
NEO630	ancient-Early Farmer	4898
NEO624	ancient-Early Farmer	4897
NEO717	ancient-Early Farmer	4893
Embo_1	ancient-Early Farmer	5050
M1489	ancient-Yamnaya	2035
12880A	ancient-Yamnaya	2017
12884A	ancient-Yamnaya	1995
15579A	ancient-Yamnaya	1745
3DT16	ancient-Yamnaya	1750
3DT26	ancient-Early Farmer	1750
6DT18	ancient-Yamnaya	1750
6DT21	ancient-Yamnaya	1750
6DT22	ancient-Yamnaya	1750
6DT23	ancient-Yamnaya	1750
6DT3	ancient-Yamnaya	1750
15569A	ancient-Yamnaya	1490
15570A	ancient-Yamnaya	1482.5
15577A	ancient-Yamnaya	1477.5
15558A	ancient-Yamnaya	1455
12883A	ancient-Yamnaya	1246.5
12881A	ancient-Yamnaya	1232
12885A	ancient-Yamnaya	1164.5
NO3423	ancient-Yamnaya	1170
VK143	ancient-Yamnaya	1010
VK144	ancient-Yamnaya	1010
VK145	ancient-Yamnaya	1010
VK146	ancient-Yamnaya	1010
VK147	ancient-Yamnaya	1010
VK150	ancient-Yamnaya	1010
VK151	ancient-Yamnaya	1010
VK165	ancient-Yamnaya	1010
VK166	ancient-Yamnaya	1010
VK168	ancient-Yamnaya	1010
VK172	ancient-Yamnaya	1010
VK173	ancient-Yamnaya	1010
VK174	ancient-Yamnaya	1010
VK175	ancient-Yamnaya	1010
VK176	ancient-Yamnaya	1010
VK177	ancient-Yamnaya	1010
VK178	ancient-Yamnaya	1010
VK170	ancient-Yamnaya	950
VK256	ancient-Yamnaya	953
VK257	ancient-Yamnaya	953
VK258	ancient-Yamnaya	953
VK259	ancient-Yamnaya	953
VK260	ancient-Yamnaya	953
VK261	ancient-Yamnaya	953
VK262	ancient-Yamnaya	953
VK263	ancient-Yamnaya	953
VK264	ancient-Yamnaya	953
VK449	ancient-Yamnaya	953
VK203	ancient-Yamnaya	900
VK207	ancient-Yamnaya	900
VK201	ancient-Yamnaya	900
VK202	ancient-Yamnaya	900
VK204	ancient-Yamnaya	900
VK205	ancient-Yamnaya	900
VK171	ancient-Yamnaya	850
prs002	ancient-Early Farmer	5675
prs012	ancient-Early Farmer	5660
prs003	ancient-Early Farmer	5600
prs016	ancient-Early Farmer	5560
prs010	ancient-Early Farmer	5530
prs006	ancient-Early Farmer	5330
prs013	ancient-Early Farmer	5320
prs009	ancient-Early Farmer	5310
Ballynahatty	ancient-Early Farmer	5131.5
Rathlin1	ancient-Yamnaya	3905.5
Rathlin2	ancient-Yamnaya	3832.5
Rathlin3	ancient-Yamnaya	3585
VK545	ancient-Yamnaya	1185
VK543	ancient-Yamnaya	1000
VK544	ancient-Yamnaya	1000
VK24	ancient-Yamnaya	800
VK237	ancient-Yamnaya	250
VK238	ancient-Yamnaya	250
VK241	ancient-Yamnaya	250
VK244	ancient-Yamnaya	250
VK27	ancient-Yamnaya	250
VK44	ancient-Yamnaya	250
VK46	ancient-Yamnaya	250
NNM-A-1	ancient-Yamnaya	1015
DKS-A-1	ancient-Yamnaya	1025
SSG-A-2	ancient-Yamnaya	1025
SSG-A-3	ancient-Yamnaya	1025
SSG-A-4	ancient-Yamnaya	1025
SSJ-A-2	ancient-Yamnaya	1025
SVK-A-1	ancient-Yamnaya	1015
FSS-A-1	ancient-Yamnaya	1015
GTE-A-1	ancient-Yamnaya	1015
GRS-A-1	ancient-Yamnaya	1015
HSJ-A-1	ancient-Yamnaya	1015
SBT-A-1	ancient-Yamnaya	1015
DAV-A-8	ancient-Yamnaya	1000
DAV-A-9	ancient-Yamnaya	950
STT-A-2	ancient-Yamnaya	1000
VDP-A-5	ancient-Yamnaya	1000
VDP-A-6	ancient-Yamnaya	1000
VDP-A-7	ancient-Yamnaya	1000
MKR-A-1	ancient-Yamnaya	1015
YGS-B-2	ancient-Yamnaya	1015
TGS-A-1	ancient-Yamnaya	989.5
KNS-A-1	ancient-Yamnaya	950
VK127	ancient-Yamnaya	900
VK128	ancient-Yamnaya	900
VK129	ancient-Yamnaya	900
TSK-A-26	ancient-Yamnaya	825
VK101	ancient-Yamnaya	750
VK102	ancient-Yamnaya	750
VK122	ancient-Yamnaya	750
VK123	ancient-Yamnaya	750
VK225	ancient-Yamnaya	750
VK227	ancient-Yamnaya	750
VK230	ancient-Yamnaya	750
VK95	ancient-Yamnaya	750
VK98	ancient-Yamnaya	750
VK99	ancient-Yamnaya	750
FOV-A-1	ancient-Yamnaya	635.5
KOV-A-2	ancient-Yamnaya	236
VK186	ancient-Yamnaya	903
VK1	ancient-Yamnaya	850
VK6	ancient-Yamnaya	850
VK187	ancient-Yamnaya	849
VK513	ancient-Yamnaya	800
VK179	ancient-Yamnaya	800
VK183	ancient-Yamnaya	800
VK184	ancient-Yamnaya	800
VK75	ancient-Yamnaya	654
VK190	ancient-Yamnaya	588
NEO254	ancient-Hunter-Gatherer (W)	10463
